method,PSNR,SSIM,LPIPS
Bicubic upsample,24.238165464512065,0.656914547117114,0.4599778652191162
DIP alone,27.895412518076824,0.8065156081284904,0.29290565848350525
BATDiff (DIP ref),9.06704203227268,0.04322993083204729,0.7241966128349304
