method,PSNR,SSIM,LPIPS
Bicubic ×8,13.499674689497178,0.07496495170771478,1.0638971328735352
DIP alone,13.106263856891747,0.06436262231542993,0.9486082196235657
BATDiff (bicubic ref),11.363855806829504,0.023562636335085707,0.9800141453742981
BATDiff (DIP ref),10.953583821821537,0.0179417406256121,0.8830491304397583
