iteration,PSNR,SSIM,LPIPS
100,22.68977010869625,0.5143552462597695,0.645918607711792
250,24.341547193778954,0.6196761551147898,0.5377164483070374
500,26.006777312677727,0.7025739713155201,0.43257078528404236
1000,27.226341414161688,0.7678637412060426,0.3391371965408325
2000,27.895412518076824,0.8065156081284904,0.29290565848350525
