iteration,PSNR,SSIM,LPIPS
100,27.345359391287953,0.7158740168635886,0.34768903255462646
250,26.874413214152938,0.6927690261582695,0.3598778247833252
500,26.71582280644874,0.6815826518054638,0.3685297966003418
1000,26.77120397832943,0.682669284837718,0.3763178884983063
2000,26.96447275651834,0.69470367509013,0.3785291910171509
