method,PSNR,SSIM,LPIPS
Bicubic upsample,24.238165464512065,0.6569145471171142,0.4599778354167938
DIP alone,27.895412518076824,0.8065156081284904,0.29290565848350525
"BATDiff alone (4000, published x_ref)",10.7399,0.0602,0.7273
"BATDiff (DIP x_ref, 20000)",9.926838981053965,0.04598538669718338,0.732295572757721
